db,con,con_description,lang,votes,mos,noi,col,dis,loud,noi_std,col_std,dis_std,loud_std,mos_std,noi_ci,col_ci,dis_ci,loud_ci,mos_ci
NISQA_TEST_FOR,1,Anchor: Fullband clean,en,117,4.42874036246012,4.356990954189009,4.21643162880406,4.2088832776758,4.3362784697575085,0.6572963053508261,0.7745343099842841,0.851336509184378,0.851336509184378,0.667615699165819,0.120356828885629,0.14182415548961802,0.155887324675138,0.155887324675138,0.122246402135142
NISQA_TEST_FOR,2,Anchor: P50MNRU 25dB,en,110,3.60088315217391,3.5234621047554304,3.4624343548912995,3.80093288389946,3.99428394701087,1.03209679524731,1.12163726549618,1.01613127895219,1.01613127895219,0.8426590603455519,0.19503861909730105,0.2119593669875,0.19202156462555495,0.19202156462555495,0.159239966887257
NISQA_TEST_FOR,3,Anchor: White Noise 12dB,en,114,2.24921217822033,1.45198854884052,3.71715320379089,3.990781680981741,3.5668635744034702,0.332274775110734,1.0151176546377498,0.9293311702414292,0.9293311702414292,0.7040294214674591,0.061655093541444,0.188359690955787,0.172441619178343,0.172441619178343,0.13063585648967502
NISQA_TEST_FOR,4,Anchor: Level -20dB,en,121,3.1634715656284795,4.34287717610366,3.65833993532745,4.29545207271447,1.8018182992491696,0.56688939160084,1.04564141674891,0.612140102735816,0.612140102735816,0.93804859736762,0.10203650388629,0.18820883943951305,0.11018134559790302,0.11018134559790302,0.16884281267028
NISQA_TEST_FOR,5,Anchor: BP 500-2500Hz,en,121,2.7785826001955,4.20140726078715,1.66777916500855,4.226818103954,3.0298576064480094,0.7099888105707359,0.667766908748441,0.6668910893415071,0.6668910893415071,0.777784573819399,0.127793493937938,0.12019381873990402,0.1200361767878,0.1200361767878,0.139996302391738
NISQA_TEST_FOR,6,Anchor: BP 100-5000Hz + Level -10dB,en,113,3.3154318950581603,4.02952372678005,3.1195154098764104,3.9897878476580297,2.6824790931394302,0.7618920938491329,1.14454290702733,0.847839811319693,0.847839811319693,0.779657756977995,0.142010424628542,0.213333391361744,0.15803037279756,0.15803037279756,0.14532179822738198
NISQA_TEST_FOR,7,Anchor: Time Clipping 2%,en,117,3.60070783660589,4.19587339377191,3.8593040507209904,2.82214475976946,4.16690703790542,0.6489052420809711,0.92050971436888,0.913136918949118,0.913136918949118,0.702352002710305,0.118820350195703,0.16855355686309806,0.167203532118517,0.167203532118517,0.128606929811608
NISQA_TEST_FOR,8,Anchor: Time Clipping 20%,en,130,1.63018272741648,3.5613673400432497,3.3883412836573195,1.39371243904022,3.4712311873655897,1.04356899079928,1.08416595781343,0.34032548919891104,0.34032548919891104,0.650490152280784,0.181088520362131,0.188133233986816,0.0590560277508314,0.0590560277508314,0.112878305339873
NISQA_TEST_FOR,9,Amp clipping 0.15 x Opus @ 8.0 ,en,109,2.59352475481508,3.45193533160818,2.15066453291091,3.57000419880362,3.28096848800071,0.975143159443658,0.91800490294037,1.04877651169522,1.04877651169522,0.662777329678795,0.185138521692678,0.17429037879317702,0.19911838695770104,0.19911838695770104,0.125833436700883
NISQA_TEST_FOR,10,Amp clipping 0.10 x AMR-WB@ 23.85,en,124,2.69777024977247,3.43855474345064,2.3792117337749,3.55899673602319,3.28959760831732,0.957792826236917,0.942176265576812,0.942590917498218,0.942590917498218,0.669056846683729,0.17025614313125506,0.16748016140104002,0.16755386944619,0.16755386944619,0.118930769923886
NISQA_TEST_FOR,11,Amp clipping 0.05 x AMR-NB @ 5.90 ,en,116,1.93442780337942,3.525331234435,1.5395504771385402,3.65469937016369,2.71886600553715,1.1524008588387802,0.446630149305254,1.08281427017144,1.08281427017144,0.650527402412064,0.21194191759352,0.0821412528225812,0.199144014044743,0.199144014044743,0.119640682369218
NISQA_TEST_FOR,12,AMR-WB@8.85,en,122,3.57466877880184,3.8075345114559305,3.16971346030386,3.79102961922523,3.8825360926339294,0.8951326444425121,1.0891409898935,1.0237306865435,1.0237306865435,0.702123965545064,0.16044302846646,0.195216965809913,0.183492862988348,0.183492862988348,0.125848270745493
NISQA_TEST_FOR,13,AMR-WB@8.85 PL 6%  bursty,en,113,3.07356079404467,3.74921654358561,2.78629348410918,2.8481377806129,3.42297269864268,0.914073195237892,1.00699320464012,0.902517654115175,0.902517654115175,0.7115230604692879,0.170375731216086,0.18769525729888506,0.168221873320857,0.168221873320857,0.13262205076806
NISQA_TEST_FOR,14,AMR-WB@8.85 PL 12% random,en,120,1.8557629836647096,3.2208105017874504,2.23077197816303,2.19244623414361,2.99066904903319,1.08643495244841,0.9570079597332072,0.8553655833824221,0.8553655833824221,0.6908516231793629,0.19638133263311,0.17298642504952402,0.15461379696463098,0.15461379696463098,0.124876654700735
NISQA_TEST_FOR,15,AMR-WB@8.85PL 18%  bursty,en,124,1.890625,3.641119016071431,2.19779803325893,1.9534069207589295,3.2183421370535696,1.02149616426535,0.959706751134054,0.8484800507757599,0.8484800507757599,0.7237970114756891,0.18157997469503895,0.170596360203573,0.15082483081070802,0.15082483081070802,0.12866131819753002
NISQA_TEST_FOR,16,AMR-WB@8.85 PL 24%  random,en,122,1.60257626623851,3.24010486653043,2.05780409361772,1.7806967822981998,2.98109503615166,1.11999392697695,0.970968531444663,0.7226938802405349,0.7226938802405349,0.519647545689722,0.200747027408591,0.174035806534166,0.129535209691948,0.129535209691948,0.0931413087024074
NISQA_TEST_FOR,17,AMR-WB@8.85 PL 30%  bursty,en,119,1.39399595742925,3.4068428973187,2.00372335035269,1.58510059923686,2.91217906351992,1.13540163599808,0.948169403988577,0.605923900339252,0.605923900339252,0.502750639033159,0.206110888977403,0.17212238608892602,0.109994128766421,0.109994128766421,0.0912649566987735
NISQA_TEST_FOR,18,Opus @ 15.0 ,en,109,3.74193644393241,3.828183789035141,3.7348624990445503,3.51966049503927,4.03680293723963,0.993642449390966,1.02137691233605,1.18138588637432,1.18138588637432,0.820543471389199,0.18865075593237896,0.193916359674626,0.224295309292555,0.224295309292555,0.155786567137737
NISQA_TEST_FOR,19,Opus @ 15.0 PL 6%  bursty,en,114,3.03066975703325,3.71782088117136,3.12727927522682,2.83806477809623,3.74825106862628,0.890482663909863,1.10259968452318,0.973826694539664,0.973826694539664,0.798016363024808,0.16523310239876,0.204592378899024,0.180697965787468,0.180697965787468,0.14807556033557
