filepath_deg,score
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0073.wav,4.294117647058823
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0082.wav,4.4375
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0087.wav,3.8125
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0091.wav,4.1875
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0117.wav,4.526315789473684
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0120.wav,4.4
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0147.wav,4.444444444444445
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0187.wav,4.176470588235294
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0240.wav,4.388888888888889
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0245.wav,4.25
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0255.wav,2.9411764705882355
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0256.wav,4.266666666666667
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0270.wav,4.8
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0284.wav,4.631578947368421
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0290.wav,4.470588235294118
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0308.wav,4.444444444444445
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0320.wav,4.315789473684211
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0437.wav,4.65
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0451.wav,4.75
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0469.wav,4.411764705882353
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0490.wav,3.4705882352941178
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0504.wav,4.647058823529412
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0532.wav,4.6875
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0533.wav,4.5
