filepath_deg,mos,lang
Blizzard_2009/A_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,4.928571428571429,en
Blizzard_2009/B_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,2.769230769230769,en
Blizzard_2009/C_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,2.6153846153846154,en
Blizzard_2009/D_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,2.5,en
Blizzard_2009/E_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,2.2666666666666666,en
Blizzard_2009/H_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,2.7333333333333334,en
Blizzard_2009/I_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,3.0,en
Blizzard_2009/J_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,2.333333333333333,en
Blizzard_2009/K_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,3.875,en
Blizzard_2009/L_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,2.8666666666666667,en
Blizzard_2009/M_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,1.7142857142857142,en
Blizzard_2009/O_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,2.411764705882353,en
Blizzard_2009/P_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,1.4444444444444444,en
Blizzard_2009/Q_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,2.0,en
Blizzard_2009/R_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,2.0625,en
Blizzard_2009/T_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,2.3076923076923075,en
Blizzard_2009/W_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0003.wav,2.7142857142857144,en
Blizzard_2009/A_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,4.928571428571429,en
Blizzard_2009/B_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,1.9230769230769231,en
Blizzard_2009/C_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,3.294117647058824,en
Blizzard_2009/D_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,2.571428571428572,en
Blizzard_2009/E_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,1.9375,en
Blizzard_2009/H_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,2.357142857142857,en
Blizzard_2009/I_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,3.142857142857143,en
Blizzard_2009/J_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,2.0625,en
Blizzard_2009/K_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,3.3529411764705883,en
Blizzard_2009/L_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,2.8461538461538463,en
Blizzard_2009/M_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,1.8333333333333333,en
Blizzard_2009/O_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,2.6666666666666665,en
Blizzard_2009/P_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,1.6,en
Blizzard_2009/Q_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,2.333333333333333,en
Blizzard_2009/R_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,2.142857142857143,en
Blizzard_2009/T_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,1.7142857142857142,en
Blizzard_2009/W_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0007.wav,1.933333333333333,en
Blizzard_2009/A_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,4.933333333333334,en
Blizzard_2009/B_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,3.1333333333333333,en
Blizzard_2009/C_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,2.466666666666667,en
Blizzard_2009/D_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,2.375,en
Blizzard_2009/E_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,2.0,en
Blizzard_2009/H_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,3.3125,en
Blizzard_2009/I_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,4.214285714285714,en
Blizzard_2009/J_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,2.8461538461538463,en
Blizzard_2009/K_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,3.928571428571429,en
Blizzard_2009/L_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,2.8461538461538463,en
Blizzard_2009/M_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,3.25,en
Blizzard_2009/O_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,2.769230769230769,en
Blizzard_2009/P_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,1.875,en
Blizzard_2009/Q_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,1.8,en
Blizzard_2009/R_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,2.2857142857142856,en
Blizzard_2009/T_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,2.375,en
Blizzard_2009/W_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0008.wav,2.076923076923077,en
Blizzard_2009/A_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0012.wav,4.875,en
Blizzard_2009/B_submission_directory_english_EH1_2009_conv_wavs_conv_2009_0012.wav,2.625,en
