filepath_deg,mos
Blizzard_2020/MH1_A_submission_directory_news_wav_news_0002_0012.wav,4.727272727272728
Blizzard_2020/MH1_B_submission_directory_news_wav_news_0002_0012.wav,4.208333333333333
Blizzard_2020/MH1_C_submission_directory_news_wav_news_0002_0012.wav,4.478260869565218
Blizzard_2020/MH1_D_submission_directory_news_wav_news_0002_0012.wav,4.227272727272728
Blizzard_2020/MH1_E_submission_directory_news_wav_news_0002_0012.wav,4.695652173913044
Blizzard_2020/MH1_F_submission_directory_news_wav_news_0002_0012.wav,4.315789473684211
Blizzard_2020/MH1_G_submission_directory_news_wav_news_0002_0012.wav,3.2
Blizzard_2020/MH1_H_submission_directory_news_wav_news_0002_0012.wav,3.4
Blizzard_2020/MH1_I_submission_directory_news_wav_news_0002_0012.wav,4.409090909090909
Blizzard_2020/MH1_J_submission_directory_news_wav_news_0002_0012.wav,3.6
Blizzard_2020/MH1_K_submission_directory_news_wav_news_0002_0012.wav,3.875
Blizzard_2020/MH1_L_submission_directory_news_wav_news_0002_0012.wav,4.653846153846154
Blizzard_2020/MH1_M_submission_directory_news_wav_news_0002_0012.wav,4.5
Blizzard_2020/MH1_N_submission_directory_news_wav_news_0002_0012.wav,3.533333333333333
Blizzard_2020/MH1_O_submission_directory_news_wav_news_0002_0012.wav,4.428571428571429
Blizzard_2020/MH1_P_submission_directory_news_wav_news_0002_0012.wav,4.3
Blizzard_2020/MH1_Q_submission_directory_news_wav_news_0002_0012.wav,2.769230769230769
Blizzard_2020/MH1_A_submission_directory_news_wav_news_0004_0029.wav,4.727272727272728
Blizzard_2020/MH1_B_submission_directory_news_wav_news_0004_0029.wav,4.35
Blizzard_2020/MH1_C_submission_directory_news_wav_news_0004_0029.wav,4.346153846153846
Blizzard_2020/MH1_D_submission_directory_news_wav_news_0004_0029.wav,4.32
Blizzard_2020/MH1_E_submission_directory_news_wav_news_0004_0029.wav,4.25
Blizzard_2020/MH1_F_submission_directory_news_wav_news_0004_0029.wav,4.0
Blizzard_2020/MH1_G_submission_directory_news_wav_news_0004_0029.wav,2.9
Blizzard_2020/MH1_H_submission_directory_news_wav_news_0004_0029.wav,3.5454545454545454
Blizzard_2020/MH1_I_submission_directory_news_wav_news_0004_0029.wav,3.807692307692308
Blizzard_2020/MH1_J_submission_directory_news_wav_news_0004_0029.wav,4.1
Blizzard_2020/MH1_K_submission_directory_news_wav_news_0004_0029.wav,4.173913043478261
Blizzard_2020/MH1_L_submission_directory_news_wav_news_0004_0029.wav,4.421052631578948
Blizzard_2020/MH1_M_submission_directory_news_wav_news_0004_0029.wav,4.173913043478261
Blizzard_2020/MH1_N_submission_directory_news_wav_news_0004_0029.wav,3.9166666666666665
Blizzard_2020/MH1_O_submission_directory_news_wav_news_0004_0029.wav,4.727272727272728
Blizzard_2020/MH1_P_submission_directory_news_wav_news_0004_0029.wav,4.066666666666666
Blizzard_2020/MH1_Q_submission_directory_news_wav_news_0004_0029.wav,3.4444444444444446
Blizzard_2020/MH1_A_submission_directory_news_wav_news_0005_0035.wav,4.7368421052631575
Blizzard_2020/MH1_B_submission_directory_news_wav_news_0005_0035.wav,4.666666666666667
Blizzard_2020/MH1_C_submission_directory_news_wav_news_0005_0035.wav,4.333333333333333
Blizzard_2020/MH1_D_submission_directory_news_wav_news_0005_0035.wav,4.333333333333333
Blizzard_2020/MH1_E_submission_directory_news_wav_news_0005_0035.wav,4.6
Blizzard_2020/MH1_F_submission_directory_news_wav_news_0005_0035.wav,4.35
Blizzard_2020/MH1_G_submission_directory_news_wav_news_0005_0035.wav,3.565217391304348
Blizzard_2020/MH1_H_submission_directory_news_wav_news_0005_0035.wav,3.8846153846153846
Blizzard_2020/MH1_I_submission_directory_news_wav_news_0005_0035.wav,3.863636363636364
Blizzard_2020/MH1_J_submission_directory_news_wav_news_0005_0035.wav,3.6818181818181817
Blizzard_2020/MH1_K_submission_directory_news_wav_news_0005_0035.wav,4.3478260869565215
Blizzard_2020/MH1_L_submission_directory_news_wav_news_0005_0035.wav,4.25
Blizzard_2020/MH1_M_submission_directory_news_wav_news_0005_0035.wav,4.2
Blizzard_2020/MH1_N_submission_directory_news_wav_news_0005_0035.wav,3.7222222222222223
Blizzard_2020/MH1_O_submission_directory_news_wav_news_0005_0035.wav,4.318181818181818
Blizzard_2020/MH1_P_submission_directory_news_wav_news_0005_0035.wav,4.423076923076923
Blizzard_2020/MH1_Q_submission_directory_news_wav_news_0005_0035.wav,2.28
Blizzard_2020/MH1_A_submission_directory_news_wav_news_0008_0058.wav,4.5
Blizzard_2020/MH1_B_submission_directory_news_wav_news_0008_0058.wav,3.615384615384616
Blizzard_2020/MH1_C_submission_directory_news_wav_news_0008_0058.wav,4.05
Blizzard_2020/MH1_D_submission_directory_news_wav_news_0008_0058.wav,4.461538461538462
Blizzard_2020/MH1_E_submission_directory_news_wav_news_0008_0058.wav,4.260869565217392
Blizzard_2020/MH1_F_submission_directory_news_wav_news_0008_0058.wav,4.090909090909091
Blizzard_2020/MH1_G_submission_directory_news_wav_news_0008_0058.wav,2.789473684210526
Blizzard_2020/MH1_H_submission_directory_news_wav_news_0008_0058.wav,1.8571428571428568
Blizzard_2020/MH1_I_submission_directory_news_wav_news_0008_0058.wav,4.65
Blizzard_2020/MH1_J_submission_directory_news_wav_news_0008_0058.wav,3.611111111111111
Blizzard_2020/MH1_K_submission_directory_news_wav_news_0008_0058.wav,3.65
