filepath_deg,mos,lang
Blizzard_2008/A_submission_directory_english_arctic_2008_news_news_2008_0002.wav,4.727272727272728,en
Blizzard_2008/B_submission_directory_english_arctic_2008_news_news_2008_0002.wav,4.383333333333334,en
Blizzard_2008/C_submission_directory_english_arctic_2008_news_news_2008_0002.wav,2.404166666666667,en
Blizzard_2008/D_submission_directory_english_arctic_2008_news_news_2008_0002.wav,2.3911764705882352,en
Blizzard_2008/E_submission_directory_english_arctic_2008_news_news_2008_0002.wav,2.253571428571429,en
Blizzard_2008/F_submission_directory_english_arctic_2008_news_news_2008_0002.wav,3.2583333333333333,en
Blizzard_2008/G_submission_directory_english_arctic_2008_news_news_2008_0002.wav,3.6,en
Blizzard_2008/H_submission_directory_english_arctic_2008_news_news_2008_0002.wav,2.5416666666666665,en
Blizzard_2008/I_submission_directory_english_arctic_2008_news_news_2008_0002.wav,1.9291666666666665,en
Blizzard_2008/J_submission_directory_english_arctic_2008_news_news_2008_0002.wav,4.03125,en
Blizzard_2008/L_submission_directory_english_arctic_2008_news_news_2008_0002.wav,2.9875,en
Blizzard_2008/M_submission_directory_english_arctic_2008_news_news_2008_0002.wav,3.5277777777777777,en
Blizzard_2008/N_submission_directory_english_arctic_2008_news_news_2008_0002.wav,3.85,en
Blizzard_2008/O_submission_directory_english_arctic_2008_news_news_2008_0002.wav,3.813636363636364,en
Blizzard_2008/Q_submission_directory_english_arctic_2008_news_news_2008_0002.wav,2.775,en
Blizzard_2008/R_submission_directory_english_arctic_2008_news_news_2008_0002.wav,2.504166666666667,en
Blizzard_2008/S_submission_directory_english_arctic_2008_news_news_2008_0002.wav,3.8,en
Blizzard_2008/T_submission_directory_english_arctic_2008_news_news_2008_0002.wav,3.17,en
Blizzard_2008/V_submission_directory_english_arctic_2008_news_news_2008_0002.wav,3.825,en
Blizzard_2008/A_submission_directory_english_arctic_2008_news_news_2008_0004.wav,4.818181818181818,en
Blizzard_2008/B_submission_directory_english_arctic_2008_news_news_2008_0004.wav,3.3950000000000005,en
Blizzard_2008/C_submission_directory_english_arctic_2008_news_news_2008_0004.wav,3.3666666666666667,en
Blizzard_2008/D_submission_directory_english_arctic_2008_news_news_2008_0004.wav,2.559090909090909,en
Blizzard_2008/E_submission_directory_english_arctic_2008_news_news_2008_0004.wav,2.0875,en
Blizzard_2008/F_submission_directory_english_arctic_2008_news_news_2008_0004.wav,2.2,en
Blizzard_2008/G_submission_directory_english_arctic_2008_news_news_2008_0004.wav,2.0625,en
Blizzard_2008/H_submission_directory_english_arctic_2008_news_news_2008_0004.wav,2.605555555555556,en
Blizzard_2008/I_submission_directory_english_arctic_2008_news_news_2008_0004.wav,2.332142857142857,en
Blizzard_2008/J_submission_directory_english_arctic_2008_news_news_2008_0004.wav,3.388888888888889,en
Blizzard_2008/L_submission_directory_english_arctic_2008_news_news_2008_0004.wav,3.3541666666666665,en
Blizzard_2008/M_submission_directory_english_arctic_2008_news_news_2008_0004.wav,2.9416666666666664,en
Blizzard_2008/N_submission_directory_english_arctic_2008_news_news_2008_0004.wav,0.8944444444444445,en
Blizzard_2008/O_submission_directory_english_arctic_2008_news_news_2008_0004.wav,3.1125000000000003,en
Blizzard_2008/Q_submission_directory_english_arctic_2008_news_news_2008_0004.wav,2.9,en
Blizzard_2008/R_submission_directory_english_arctic_2008_news_news_2008_0004.wav,2.420588235294117,en
Blizzard_2008/S_submission_directory_english_arctic_2008_news_news_2008_0004.wav,3.7,en
Blizzard_2008/T_submission_directory_english_arctic_2008_news_news_2008_0004.wav,2.51875,en
Blizzard_2008/V_submission_directory_english_arctic_2008_news_news_2008_0004.wav,3.758333333333333,en
Blizzard_2008/A_submission_directory_english_arctic_2008_news_news_2008_0010.wav,4.716666666666667,en
Blizzard_2008/B_submission_directory_english_arctic_2008_news_news_2008_0010.wav,3.2625,en
Blizzard_2008/C_submission_directory_english_arctic_2008_news_news_2008_0010.wav,2.441666666666667,en
Blizzard_2008/D_submission_directory_english_arctic_2008_news_news_2008_0010.wav,2.095833333333333,en
Blizzard_2008/E_submission_directory_english_arctic_2008_news_news_2008_0010.wav,2.935,en
Blizzard_2008/F_submission_directory_english_arctic_2008_news_news_2008_0010.wav,3.40625,en
